Dealer,Type,Product,Chassis_Number,Engine_Number,Color
SDR,TL50,FE SUPER HDX K HI GEAR (4 X 2) M/T (TL50),MHMFE75PRMK039924,4D34T-XY4872,Kuning
ARS,TL50,FE SUPER HDX K HI GEAR (4 X 2) M/T (TL50),MHMFE75PRMK039844,4D34T-XX3987,Kuning
SDR,TL50,FE SUPER HDX K HI GEAR (4 X 2) M/T (TL50),MHMFE75PRMK039866,4D34T-XY4804,Kuning
ARS,TL50,FE SUPER HDX K HI GEAR (4 X 2) M/T (TL50),MHMFE75PRMK039823,4D34T-XX3989,Kuning
ARS,TL50,FE SUPER HDX K HI GEAR (4 X 2) M/T (TL50),MHMFE75PRMK039354,4D34T-XX3349,Kuning
SDR,TL50,FE SUPER HDX K HI GEAR (4 X 2) M/T (TL50),MHMFE75PRMK039245,4D34T-XX3275,Kuning
CRB,TL50,FE SUPER HDX K HI GEAR (4 X 2) M/T (TL50),MHMFE75PRMK039373,4D34T-XX3398,Kuning
CRB,TL50,FE SUPER HDX K HI GEAR (4 X 2) M/T (TL50),MHMFE75PRMK040294,4D34T-XY6623,Kuning
