Dealer,Type,Product,Chassis_Number,Engine_Number,Color
SDR,TQ40,Mits. Colt Diesel FE71BC (4X2) M/T (TQ40),MHMFE71P9MK006867,4D34T-X00018,Abu-Abu
ARS,TQ40,Mits. Colt Diesel FE71BC (4X2) M/T (TQ40),MHMFE71P9MK006865,4D34T-X00023,Abu-Abu
CRB,TQ40,Mits. Colt Diesel FE71BC (4X2) M/T (TQ40),MHMFE71P9MK006857,4D34T-X00022,Abu-Abu
ARS,TQ40,Mits. Colt Diesel FE71BC (4X2) M/T (TQ40),MHMFE71P9MK006873,4D34T-X00050,Abu-Abu
ARS,TQ40,Mits. Colt Diesel FE71BC (4X2) M/T (TQ40),MHMFE71P9MK006851,4D34T-X00016,Abu-Abu
