Dealer,Type,Product,Chassis_Number,Engine_Number,Color
CRB,TG40,Mits. Colt Diesel FE71 L (4X2) M/T (TG40),MHMFE71PCMK021836,4D34T-XY5142,Kuning
SDR,TG40,Mits. Colt Diesel FE71 L (4X2) M/T (TG40),MHMFE71PCMK021807,4D34T-XY4974,Kuning
SDR,TG40,Mits. Colt Diesel FE71 L (4X2) M/T (TG40),MHMFE71PCMK021790,4D34T-XY4958,Kuning
ARS,TG40,Mits. Colt Diesel FE71 L (4X2) M/T (TG40),MHMFE71PCMK021808,4D34T-XY4969,Kuning
CRB,TG40,Mits. Colt Diesel FE71 L (4X2) M/T (TG40),MHMFE71PCMK021852,4D34T-XY5154,Kuning
