Dealer,Type,Product,Chassis_Number,Engine_Number,Color
SDR,TR50,FE84G K (4 X 2) M/T (TR50),MHMFE84PWMK021241,4D34T-XY7005,Kuning
SDR,TR50,FE84G K (4 X 2) M/T (TR50),MHMFE84PWMK021242,4D34T-XY7008,Kuning
SDR,TR50,FE84G K (4 X 2) M/T (TR50),MHMFE84PWMK021243,4D34T-XY7006,Kuning
SDR,TR50,FE84G K (4 X 2) M/T (TR50),MHMFE84PWMK021227,4D34T-XY6332,Kuning
SDR,TR50,FE84G K (4 X 2) M/T (TR50),MHMFE84PWMK021226,4D34T-XY6325,Kuning
CRB,TR50,FE84G K (4 X 2) M/T (TR50),MHMFE84PWMK021161,4D34T-XY5200,Kuning
ARS,TR50,FE84G K (4 X 2) M/T (TR50),MHMFE84PWMK021159,4D34T-XY5212,Kuning
SDR,TR50,FE84G K (4 X 2) M/T (TR50),MHMFE84PWMK021267,4D34T-XY7034,Kuning
ARS,TR50,FE84G K (4 X 2) M/T (TR50),MHMFE84PWMK021269,4D34T-XY7028,Kuning
