Dealer,Type,Product,Chassis_Number,Engine_Number,Color
SDR,TH40,Mits. Colt Diesel FE71 PS (4X2) M/T (TH40),MHMFE71PGMK009895,4D34T-XY5640,Kuning
SDR,TH40,Mits. Colt Diesel FE71 PS (4X2) M/T (TH40),MHMFE71PGMK009897,4D34T-XY5639,Kuning
SDR,TH40,Mits. Colt Diesel FE71 PS (4X2) M/T (TH40),MHMFE71PGMK009898,4D34T-XY5650,Kuning
ARS,TH40,Mits. Colt Diesel FE71 PS (4X2) M/T (TH40),MHMFE71PGMK009899,4D34T-XY5651,Kuning
ARS,TH40,Mits. Colt Diesel FE71 PS (4X2) M/T (TH40),MHMFE71PGMK009900,4D34T-XY5638,Kuning
CRB,TH40,Mits. Colt Diesel FE71 PS (4X2) M/T (TH40),MHMFE71PGMK009846,4D34T-XY5605,Kuning
