Dealer,Type,Product,Chassis_Number,Engine_Number,Color
ARS,TI40,Mits. Colt Diesel FE71L BC NC (4X2) M/T (TI40),MHMFE71PJMJ000124,4D34T-U45991,Hitam
ARS,TI40,Mits. Colt Diesel FE71L BC NC (4X2) M/T (TI40),MHMFE71PJMJ000125,4D34T-U45998,Hitam
SDR,TI40,Mits. Colt Diesel FE71L BC NC (4X2) M/T (TI40),MHMFE71PJMJ000121,4D34T-U46000,Hitam
SDR,TI40,Mits. Colt Diesel FE71L BC NC (4X2) M/T (TI40),MHMFE71PJMJ000122,4D34T-U45999,Hitam
SDR,TI40,Mits. Colt Diesel FE71L BC NC (4X2) M/T (TI40),MHMFE71PJMJ000123,4D34T-U45996,Hitam
